Frequency (Hz)	Level (dB)
8387.182617	-129.078873
8397.949219	-129.105087
8408.715820	-129.781860
8419.482422	-130.308960
8430.249023	-129.394684
8441.015625	-129.906250
8451.782227	-130.039230
8462.548828	-129.527954
8473.315430	-128.605255
8484.082031	-129.208969
8494.848633	-128.746063
8505.615234	-128.974075
8516.381836	-130.620270
8527.148438	-129.958038
8537.915039	-129.388763
8548.681641	-129.987534
8559.448242	-129.611206
8570.214844	-129.839020
8580.981445	-130.282303
8591.748047	-129.447861
8602.514648	-129.933655
8613.281250	-129.324509
8624.047852	-128.351028
8634.814453	-130.641632
8645.581055	-130.098953
8656.347656	-129.461044
8667.114258	-130.042374
8677.880859	-129.988602
8688.647461	-129.341995
8699.414062	-129.853378
8710.180664	-129.692154
8720.947266	-128.678421
8731.713867	-129.878387
8742.480469	-129.407333
8753.247070	-129.559097
8764.013672	-130.705292
8774.780273	-130.137436
8785.546875	-129.139816
8796.313477	-129.965973
8807.080078	-129.002808
8817.846680	-129.821823
8828.613281	-130.724670
8839.379883	-130.037308
8850.146484	-129.176544
8860.913086	-128.898758
8871.679688	-128.618240
8882.446289	-129.001907
8893.212891	-129.462723
8903.979492	-129.498215
8914.746094	-129.606750
8925.512695	-129.402634
8936.279297	-129.761993
8947.045898	-129.006042
8957.812500	-129.355560
8968.579102	-129.422318
8979.345703	-129.049042
8990.112305	-130.227127
9000.878906	-130.070709
9011.645508	-130.078705
9022.412109	-130.212448
9033.178711	-129.659042
9043.945312	-130.058472
9054.711914	-130.790161
9065.478516	-130.600037
9076.245117	-131.169113
9087.011719	-129.969879
9097.778320	-129.328690
9108.544922	-130.284958
9119.311523	-128.368469
9130.078125	-128.733185
9140.844727	-130.514542
9151.611328	-130.528870
9162.377930	-129.885574
9173.144531	-130.289764
9183.911133	-129.683609
9194.677734	-129.012741
9205.444336	-130.755524
9216.210938	-130.087616
9226.977539	-130.555527
9237.744141	-130.180054
9248.510742	-129.196793
9259.277344	-130.477448
9270.043945	-130.213211
9280.810547	-130.072128
9291.577148	-130.929108
9302.343750	-131.111740
9313.110352	-129.905594
9323.876953	-129.929413
9334.643555	-131.044785
9345.410156	-129.078796
9356.176758	-128.920898
9366.943359	-128.944290
9377.709961	-129.672256
9388.476562	-131.119797
9399.243164	-130.523621
9410.009766	-129.451279
9420.776367	-130.660934
9431.542969	-130.313171
9442.309570	-130.544647
9453.076172	-129.928787
9463.842773	-129.762558
9474.609375	-129.878204
9485.375977	-129.521500
9496.142578	-129.448380
9506.909180	-130.150284
9517.675781	-129.994095
9528.442383	-128.983231
9539.208984	-129.443390
9549.975586	-129.929398
9560.742188	-131.109711
9571.508789	-130.942154
9582.275391	-129.833282
9593.041992	-129.483871
9603.808594	-129.754776
9614.575195	-130.024506
9625.341797	-129.307800
9636.108398	-130.326004
9646.875000	-130.158157
9657.641602	-129.972641
9668.408203	-130.004150
9679.174805	-129.624008
9689.941406	-129.699646
9700.708008	-130.131638
9711.474609	-130.082428
9722.241211	-130.187149
9733.007812	-131.149277
9743.774414	-130.516907
9754.541016	-129.912308
9765.307617	-130.432373
9776.074219	-130.961227
9786.840820	-131.426102
9797.607422	-130.416534
9808.374023	-128.935715
9819.140625	-128.947693
9829.907227	-129.247971
9840.673828	-129.145172
9851.440430	-130.359772
9862.207031	-130.703842
9872.973633	-129.948669
9883.740234	-130.294327
9894.506836	-129.245117
9905.273438	-128.239319
9916.040039	-129.660339
9926.806641	-131.392441
9937.573242	-130.188965
9948.339844	-129.888718
9959.106445	-129.389984
9969.873047	-128.829819
9980.639648	-129.235443
9991.406250	-129.445786
10002.172852	-128.702301
10012.939453	-130.805374
10023.706055	-130.869202
10034.472656	-131.016983
10045.239258	-131.343399
10056.005859	-129.927567
10066.772461	-129.858170
10077.539062	-130.387787
10088.305664	-129.592209
10099.072266	-130.080658
10109.838867	-130.403259
10120.605469	-129.488007
10131.372070	-128.712555
10142.138672	-128.704330
10152.905273	-128.767563
10163.671875	-129.431061
10174.438477	-130.658539
10185.205078	-130.381790
10195.971680	-131.037354
10206.738281	-131.927856
10217.504883	-130.805557
10228.271484	-131.729340
10239.038086	-129.743744
10249.804688	-129.460358
10260.571289	-130.954224
10271.337891	-130.041992
10282.104492	-129.942169
10292.871094	-130.261154
10303.637695	-129.642532
10314.404297	-129.391891
10325.170898	-129.340393
10335.937500	-129.318848
10346.704102	-129.730240
10357.470703	-130.569168
10368.237305	-129.533615
10379.003906	-129.449860
10389.770508	-130.159485
10400.537109	-129.451859
10411.303711	-130.110626
10422.070312	-130.339020
10432.836914	-129.768402
10443.603516	-130.915680
10454.370117	-131.032578
10465.136719	-129.111206
10475.903320	-129.950974
10486.669922	-130.559036
10497.436523	-130.475113
10508.203125	-130.618607
10518.969727	-130.428757
10529.736328	-129.079147
10540.502930	-129.106445
10551.269531	-130.248596
10562.036133	-130.634125
10572.802734	-129.985306
10583.569336	-128.956772
10594.335938	-128.755707
10605.102539	-130.404297
10615.869141	-129.644974
10626.635742	-128.346924
10637.402344	-129.863113
10648.168945	-128.916382
10658.935547	-128.445602
10669.702148	-130.070221
10680.468750	-129.625061
10691.235352	-129.646805
10702.001953	-129.663986
10712.768555	-129.526932
10723.535156	-128.636154
10734.301758	-129.927872
10745.068359	-129.007919
10755.834961	-128.827240
10766.601562	-130.866745
10777.368164	-129.199570
10788.134766	-129.809692
10798.901367	-131.283707
10809.667969	-129.625259
10820.434570	-129.146820
10831.201172	-129.624802
10841.967773	-129.969742
10852.734375	-130.068741
10863.500977	-129.375183
10874.267578	-129.500610
10885.034180	-131.113251
10895.800781	-131.162384
10906.567383	-130.262863
10917.333984	-130.241211
10928.100586	-130.387375
10938.867188	-129.881042
10949.633789	-129.798508
10960.400391	-129.818893
10971.166992	-129.603973
10981.933594	-130.124939
10992.700195	-129.304047
11003.466797	-128.715347
11014.233398	-129.991577
11025.000000	-129.014755
11035.766602	-129.564865
11046.533203	-130.296616
11057.299805	-130.495636
11068.066406	-131.566452
11078.833008	-130.308365
11089.599609	-129.865326
11100.366211	-130.628586
11111.132812	-130.318970
11121.899414	-129.652176
11132.666016	-128.876862
11143.432617	-129.981812
11154.199219	-130.700089
11164.965820	-130.249390
11175.732422	-130.622482
11186.499023	-129.492233
11197.265625	-129.406891
11208.032227	-129.846008
11218.798828	-129.526382
11229.565430	-130.253555
11240.332031	-129.888824
11251.098633	-130.342346
11261.865234	-130.371185
11272.631836	-129.963699
11283.398438	-129.368622
11294.165039	-129.964874
11304.931641	-130.051239
11315.698242	-130.429855
11326.464844	-130.741837
11337.231445	-129.694641
11347.998047	-129.452286
11358.764648	-130.442078
11369.531250	-129.313477
11380.297852	-129.141159
11391.064453	-130.845917
11401.831055	-130.697006
11412.597656	-130.764618
11423.364258	-129.865601
11434.130859	-129.356628
11444.897461	-130.065430
11455.664062	-130.941818
11466.430664	-130.305038
11477.197266	-129.875427
11487.963867	-129.765854
11498.730469	-128.821457
11509.497070	-130.146027
11520.263672	-130.941223
11531.030273	-129.756546
11541.796875	-129.814972
11552.563477	-129.807373
11563.330078	-128.952271
11574.096680	-129.097031
11584.863281	-128.802902
11595.629883	-129.438599
11606.396484	-130.954681
11617.163086	-130.107300
11627.929688	-129.326553
11638.696289	-130.570251
11649.462891	-130.221664
11660.229492	-129.452744
11670.996094	-130.381546
11681.762695	-129.854736
11692.529297	-129.414230
11703.295898	-129.351608
11714.062500	-129.426819
11724.829102	-129.598770
11735.595703	-128.965347
11746.362305	-129.819397
11757.128906	-129.920929
11767.895508	-129.973068
11778.662109	-129.971954
11789.428711	-130.082321
11800.195312	-130.653748
11810.961914	-128.798996
11821.728516	-128.907455
11832.495117	-129.606735
11843.261719	-128.625977
11854.028320	-129.080154
11864.794922	-130.139999
11875.561523	-129.516586
11886.328125	-129.973877
11897.094727	-129.561539
11907.861328	-130.250992
11918.627930	-129.948059
11929.394531	-130.047928
11940.161133	-130.295547
11950.927734	-129.607071
11961.694336	-129.302612
11972.460938	-128.896225
11983.227539	-129.518021
11993.994141	-128.929932
